  Year  Month   Day  Hour  Minute  Second    foF2 (MHz)   foF2 POLAN Error (MHz)   hmF2 (km)
  2011    04    30    00     00      00         3.680            0.209               222.4
  2011    04    30    00     10      00         4.183            0.283               240.9
  2011    04    30    00     20      00         4.185            0.160               242.2
  2011    04    30    00     30      00         4.806            0.193               281.7
  2011    04    30    00     40      00         4.848            0.204               306.5
  2011    04    30    00     50      00         4.236            0.219               294.9
  2011    04    30    01     00      00         4.108            0.331               321.3
  2011    04    30    01     10      00         4.609            0.256               328.3
  2011    04    30    01     20      00         5.274            0.113               337.1
  2011    04    30    01     30      00         5.119            0.237               340.6
  2011    04    30    01     40      00         4.337            0.158               327.8
  2011    04    30    01     50      00         4.946            0.250               336.7
  2011    04    30    02     00      00         3.960            0.155               303.6
  2011    04    30    02     10      00         4.913            0.276               340.1
  2011    04    30    02     20      00         3.835            0.038               292.4
  2011    04    30    02     30      00         3.840            0.136               296.2
  2011    04    30    02     40      00         3.579            0.140               281.6
  2011    04    30    02     50      00         3.662            0.241               297.3
  2011    04    30    03     00      00         3.611            0.201               317.6
  2011    04    30    03     10      00         4.130            0.051               306.5
  2011    04    30    03     20      00         3.985            0.141               281.2
  2011    04    30    03     30      00         4.102            0.311               275.2
  2011    04    30    03     40      00         3.665            0.086               238.0
  2011    04    30    03     50      00         4.097            0.134               288.7
  2011    04    30    04     00      00         3.514            0.022               267.0
  2011    04    30    04     10      00         3.480            0.226               318.0
  2011    04    30    04     20      00         3.369            0.209               312.0
  2011    04    30    04     30      00         3.530            0.226               334.1
  2011    04    30    04     40      00         3.554            0.167               339.5
  2011    04    30    04     50      00         3.822            0.085               318.9
  2011    04    30    05     00      00         3.908            0.031               299.1
  2011    04    30    05     10      00         4.122            0.099               293.8
  2011    04    30    05     20      00         4.033            0.151               272.7
  2011    04    30    05     30      00         3.614            0.091               292.9
  2011    04    30    05     40      00         3.530            0.008               294.1
  2011    04    30    05     50      00         3.427            0.074               307.0
  2011    04    30    06     00      00         3.668            0.086               285.6
  2011    04    30    06     10      00         3.934            0.100               279.4
  2011    04    30    06     20      00         3.694            0.103               317.2
  2011    04    30    06     30      00         4.390            0.363               351.4
  2011    04    30    06     40      00         3.834            0.302               312.0
  2011    04    30    06     50      00         4.128            0.194               324.7
  2011    04    30    07     00      00         4.721            0.361               323.8
  2011    04    30    07     10      00         4.790            0.368               316.1
  2011    04    30    07     20      00         4.903            0.100               296.2
  2011    04    30    07     30      00         4.665            0.163               268.9
  2011    04    30    07     40      00         4.887            0.058               260.4
  2011    04    30    07     50      00         5.129            0.119               265.6
