  Year  Month   Day  Hour  Minute  Second    foF2 (MHz)   foF2 POLAN Error (MHz)   hmF2 (km)
  2009    10    01    00     00      00       999.999           99.999              9999.9
  2009    10    01    00     05      00         3.018            0.202               296.1
  2009    10    01    00     10      00         3.268            0.168               268.7
  2009    10    01    00     15      00         3.635            0.324               274.3
  2009    10    01    00     20      00         3.930            0.370               269.6
  2009    10    01    00     25      00         3.385            0.257               262.0
  2009    10    01    00     30      00         3.484            0.308               288.7
  2009    10    01    00     35      00         3.406            0.182               277.7
  2009    10    01    00     40      00         3.446            0.162               278.2
  2009    10    01    00     45      00         3.378            0.170               261.3
  2009    10    01    00     50      00         3.277            0.140               269.8
  2009    10    01    00     55      00         3.218            0.200               283.5
  2009    10    01    01     00      00       999.999           99.999              9999.9
  2009    10    01    01     05      00       999.999           99.999              9999.9
  2009    10    01    01     10      00       999.999           99.999              9999.9
  2009    10    01    01     15      00       999.999           99.999              9999.9
  2009    10    01    01     20      00       999.999           99.999              9999.9
  2009    10    01    01     25      00       999.999           99.999              9999.9
  2009    10    01    01     30      00       999.999           99.999              9999.9
  2009    10    01    01     35      00         3.082            0.162               294.0
  2009    10    01    01     40      00         2.867            0.209               295.1
  2009    10    01    01     45      00         3.361            0.175               295.8
  2009    10    01    01     50      00         3.538            0.165               290.8
  2009    10    01    01     55      00       999.999           99.999              9999.9
  2009    10    01    02     00      00       999.999           99.999              9999.9
  2009    10    01    02     05      00       999.999           99.999              9999.9
  2009    10    01    02     10      00         3.213            0.114               287.5
  2009    10    01    02     15      00         3.211            0.127               265.8
  2009    10    01    02     20      00         3.520            0.232               278.8
  2009    10    01    02     25      00         3.782            0.255               269.0
  2009    10    01    02     30      00         3.696            0.372               278.8
  2009    10    01    02     35      00         3.867            0.256               278.2
  2009    10    01    02     40      00         3.775            0.403               262.8
  2009    10    01    02     45      00         3.513            0.206               257.4
  2009    10    01    02     50      00         4.424            0.156               270.9
  2009    10    01    02     55      00         4.088            0.366               279.6
  2009    10    01    03     00      00         3.904            0.317               285.5
  2009    10    01    03     05      00         3.899            0.325               299.6
  2009    10    01    03     10      00         3.459            0.082               270.7
  2009    10    01    03     15      00         3.574            0.279               283.4
  2009    10    01    03     20      00         3.180            0.092               268.4
  2009    10    01    03     25      00         2.912            0.052               254.2
  2009    10    01    03     30      00         2.785            0.025               259.7
  2009    10    01    03     35      00         3.624            0.154               277.6
  2009    10    01    03     40      00         3.539            0.069               268.6
  2009    10    01    03     45      00         3.296            0.049               280.6
  2009    10    01    03     50      00         2.866            0.037               269.0
  2009    10    01    03     55      00         2.860            0.045               270.6
  2009    10    01    04     00      00         2.765            0.083               246.2
  2009    10    01    04     05      00         3.387            0.088               273.1
  2009    10    01    04     10      00         3.490            0.159               281.5
  2009    10    01    04     15      00         3.774            0.040               277.7
  2009    10    01    04     20      00         3.473            0.341               306.0
  2009    10    01    04     25      00         3.140            0.169               288.3
  2009    10    01    04     30      00         3.278            0.211               288.1
  2009    10    01    04     35      00         3.510            0.083               272.2
  2009    10    01    04     40      00         3.880            0.125               287.0
